id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
292,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction.",,,,,,,,,,,,,
293,Cybersecurity,medium,What is the purpose of a VPN (Virtual Private Network)?,To increase network speed,To allow a remote user to securely access a private network over the internet,To manage a wireless network,To block unwanted websites,b,"A VPN creates a secure, encrypted connection over a public network. It allows a user to send and receive data as if they were directly connected to the private network, ensuring confidentiality and security.",,,,,,,,,,,,,
294,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.,,,,,,,,,,,,,
295,Cybersecurity,medium,What is the purpose of a digital certificate in network security?,To encrypt network traffic,To verify the identity of a website or server,To store a user's password securely,To manage user permissions,b,"A digital certificate, issued by a Certificate Authority, is used to verify the identity of a website or server. It establishes a secure connection and confirms that the server is who it claims to be.",,,,,,,,,,,,,
296,Cybersecurity,hard,"What is a ""Man-in-the-Middle"" (MitM) attack?",An attack where a hacker gains unauthorized access to a computer,An attack where an attacker secretly relays and possibly alters the communication between two parties,An attack that uses a trojan to steal data,An attack that targets a specific piece of software,b,"In a MitM attack, an attacker places themselves between two communicating parties and intercepts their messages. The attacker can then read, modify, or inject false information into the communication without either party knowing.",,,,,,,,,,,,,
297,Cybersecurity,hard,What is the difference between a virus and a worm?,A virus self-replicates; a worm does not,A virus needs a host program to spread; a worm can spread on its own,A virus is a type of worm,They are the same thing,b,A computer virus requires a host program (like a `.exe` file) to run and spread. A worm is a standalone malicious program that can self-replicate and spread to other computers on a network without needing a host program or human action.,,,,,,,,,,,,,
298,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables.""",,,,,,,,,,,,,
299,Cybersecurity,hard,"What is the purpose of a ""Honeypot"" in cybersecurity?",A tool used to defend against malware,A server or system designed to attract and trap hackers,A type of network protocol,A method for encrypting data,b,"A honeypot is a decoy computer system or network designed to attract hackers and cyber attackers. It's a way to study their techniques, gather intelligence, and divert them away from the real network assets.",,,,,,,,,,,,,
301,Python,hard,"What is a ""generator expression"" in Python?",A function that returns a generator,A list comprehension using round brackets,A special kind of for loop,A function that returns an iterable,b,"A generator expression is a concise way to create an iterator, similar to a list comprehension, but using round brackets `()` instead of square brackets `[]`.",,,,,,,,,,,,,
302,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects.",,,,,,,,,,,,,
303,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them.",,,,,,,,,,,,,
304,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles.",,,,,,,,,,,,,
305,Python,hard,What is the GIL (Global Interpreter Lock)?,A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,a,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecode at the same time. This means that a single-process Python application cannot fully utilize multiple CPU cores for CPU-bound tasks.",,,,,,,,,,,,,
306,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n^2),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n).",,,,,,,,,,,,,
307,Data Structures,hard,What is a self-balancing binary search tree?,A tree where no node has more than one child,A tree where the height difference between the left and right subtrees of any node is at most 1,A tree where all leaves are at the same level,A tree that automatically sorts its elements,b,"A self-balancing binary search tree (like AVL or Red-Black trees) is a type of BST that automatically keeps its height as small as possible by performing rotations, ensuring that the height difference of subtrees is maintained to ensure O(log n) search time.",,,,,,,,,,,,,
308,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n^2),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity.",,,,,,,,,,,,,
309,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices).",,,,,,,,,,,,,
310,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex i"" and vertex ""j""",,,,,,,,,,,,,
311,Algorithms,hard,"What is the ""master theorem"" in algorithm analysis used for?",To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form T(n) = aT(n/b) + f(n), which is common in the analysis of divide and conquer algorithms.",,,,,,,,,,,,,
312,Algorithms,hard,What is the time complexity of finding an element in a balanced AVL tree?,O(1),O(n),O(log n),O(n log n),c,"An AVL tree is a self-balancing binary search tree. Its balancing property guarantees that the height of the tree remains logarithmic, ensuring that search, insertion, and deletion operations have a time complexity of O(log n) in all cases.",,,,,,,,,,,,,
313,Algorithms,hard,What is the Bellman-Ford algorithm used for?,Finding the shortest path in a graph with non-negative edge weights,Finding the minimum spanning tree,Finding the shortest path in a graph with negative edge weights,Finding all pairs shortest paths,c,"The Bellman-Ford algorithm is used to find the shortest paths from a single source vertex to all other vertices in a weighted graph, even if some of the edge weights are negative. It can also detect negative-weight cycles.",,,,,,,,,,,,,
314,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.,,,,,,,,,,,,,
315,Algorithms,hard,Which of the following is a non-comparison based sorting algorithm?,Quick Sort,Merge Sort,Radix Sort,Heap Sort,c,Radix Sort is a non-comparison based sorting algorithm that sorts integers by grouping them by individual digits. It can be faster than comparison-based sorts like Quick Sort or Merge Sort for certain types of data.,,,,,,,,,,,,,
316,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g.",,,,,,,,,,,,,
317,Machine Learning,medium,"What is a ""confusion matrix"" used for?",To visualize model performance on unseen data,To plot the training and validation loss,To evaluate the performance of a classification model,To find correlated features,c,"A confusion matrix is a table used to evaluate the performance of a classification model. It shows the number of correct and incorrect predictions for each class, including true positives, false positives, true negatives, and false negatives.",,,,,,,,,,,,,
318,Machine Learning,medium,What is the purpose of a validation set?,To train the model on a different set of data,To test the model's final performance before deployment,To tune the model's hyperparameters and prevent overfitting,To pre-process the data,c,"A validation set is a portion of the training data used to tune hyperparameters and evaluate the model's performance during training, helping to prevent overfitting to the training set.",,,,,,,,,,,,,
319,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest).",,,,,,,,,,,,,
320,Machine Learning,medium,"What is the purpose of a ""bias-variance tradeoff""?",To find the optimal balance between model complexity and performance,To prevent a model from being biased towards one class,To reduce the computational cost of training,To balance the training and testing data,a,The bias-variance tradeoff describes the conflict in trying to create a model that is both simple enough to avoid overfitting (low variance) but complex enough to capture the underlying pattern (low bias). Finding the right balance is a key challenge in machine learning.,,,,,,,,,,,,,
321,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers.",,,,,,,,,,,,,
322,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.,,,,,,,,,,,,,
323,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.,,,,,,,,,,,,,
324,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest).",,,,,,,,,,,,,
325,Machine Learning,medium,"What is the purpose of a ""bias-variance tradeoff""?",To find the optimal balance between model complexity and performance,To prevent a model from being biased towards one class,To reduce the computational cost of training,To balance the training and testing data,a,The bias-variance tradeoff describes the conflict in trying to create a model that is both simple enough to avoid overfitting (low variance) but complex enough to capture the underlying pattern (low bias). Finding the right balance is a key challenge in machine learning.,,,,,,,,,,,,,
326,Machine Learning,hard,What is the purpose of a kernel trick in Support Vector Machines (SVM)?,To speed up the training process,To find a linear decision boundary in a high-dimensional space without explicitly computing the coordinates,To reduce the number of features in a dataset,To handle missing values in the data,b,"The kernel trick allows an SVM to implicitly map data into a higher-dimensional feature space, enabling the algorithm to find a linear decision boundary that separates the data, even if the data is not linearly separable in the original space.",,,,,,,,,,,,,
327,Machine Learning,hard,Explain the difference between a bagging and boosting ensemble method.,Bagging trains models sequentially; Boosting trains them in parallel,Bagging reduces variance; Boosting reduces bias,Bagging focuses on reducing bias; Boosting focuses on reducing variance,They are different names for the same thing,b,"Bagging (like Random Forest) trains multiple models in parallel and averages their predictions to reduce variance. Boosting (like Gradient Boosting) trains models sequentially, where each new model corrects the errors of the previous one, primarily reducing bias.",,,,,,,,,,,,,
328,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,"When the gradient becomes extremely large, leading to unstable training","When the gradient becomes extremely small, slowing down or halting the learning process",When a model's weights become zero,c,"The vanishing gradient problem occurs during backpropagation in deep neural networks. As the gradient is passed back through many layers, it can become very small, causing the weights in the earlier layers to update very slowly or not at all, which makes learning difficult.",,,,,,,,,,,,,
329,Machine Learning,hard,What is a Generative Adversarial Network (GAN)?,A neural network used for regression tasks,A network that combines a generative model and a discriminative model,A network used for image classification,A type of recurrent neural network,b,"A GAN consists of two neural networks: a generator that creates new data (e.g., images) and a discriminator that evaluates the data. They are trained in a zero-sum game, where the generator tries to fool the discriminator, and the discriminator tries to correctly identify fake data.",,,,,,,,,,,,,
330,Machine Learning,hard,"What is the purpose of a ""softmax"" activation function in the output layer of a neural network?",To add a non-linearity to the model,To convert the outputs into probabilities that sum to 1,To scale the outputs to be between -1 and 1,To reduce the dimensionality of the output,b,"The softmax function is used in multi-class classification problems. It takes a vector of real numbers and normalizes them into a probability distribution, where each value is between 0 and 1 and all values sum to 1.",,,,,,,,,,,,,
331,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers.",,,,,,,,,,,,,
332,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.,,,,,,,,,,,,,
333,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.,,,,,,,,,,,,,
334,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available.",,,,,,,,,,,,,
335,Cybersecurity,easy,What is the purpose of multi-factor authentication (MFA)?,To make passwords longer,To protect against brute-force attacks,To require more than one method of verification to grant access,To automatically change a user's password,c,MFA is a security system that requires a user to provide two or more different verification factors to gain access to a resource. It adds an extra layer of security beyond just a password.,,,,,,,,,,,,,
336,Cybersecurity,medium,What is the difference between encryption and hashing?,"Encryption is one-way, Hashing is two-way","Encryption is two-way, Hashing is one-way",They are the same thing,"Hashing is used for security, Encryption is not",b,Encryption is a two-way process that transforms data to be unreadable (ciphertext) and can be reversed with a key. Hashing is a one-way process that transforms data into a fixed-size string (hash) that cannot be reversed.,,,,,,,,,,,,,
337,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction.",,,,,,,,,,,,,
338,Cybersecurity,medium,What is the purpose of a VPN (Virtual Private Network)?,To increase network speed,To allow a remote user to securely access a private network over the internet,To manage a wireless network,To block unwanted websites,b,"A VPN creates a secure, encrypted connection over a public network. It allows a user to send and receive data as if they were directly connected to the private network, ensuring confidentiality and security.",,,,,,,,,,,,,
339,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.,,,,,,,,,,,,,
340,Cybersecurity,medium,What is the purpose of a digital certificate in network security?,To encrypt network traffic,To verify the identity of a website or server,To store a user's password securely,To manage user permissions,b,"A digital certificate, issued by a Certificate Authority, is used to verify the identity of a website or server. It establishes a secure connection and confirms that the server is who it claims to be.",,,,,,,,,,,,,
341,Cybersecurity,hard,"What is a ""Man-in-the-Middle"" (MitM) attack?",An attack where a hacker gains unauthorized access to a computer,An attack where an attacker secretly relays and possibly alters the communication between two parties,An attack that uses a trojan to steal data,An attack that targets a specific piece of software,b,"In a MitM attack, an attacker places themselves between two communicating parties and intercepts their messages. The attacker can then read, modify, or inject false information into the communication without either party knowing.",,,,,,,,,,,,,
342,Cybersecurity,hard,What is the difference between a virus and a worm?,A virus self-replicates; a worm does not,A virus needs a host program to spread; a worm can spread on its own,A virus is a type of worm,They are the same thing,b,A computer virus requires a host program (like a `.exe` file) to run and spread. A worm is a standalone malicious program that can self-replicate and spread to other computers on a network without needing a host program or human action.,,,,,,,,,,,,,
343,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a ""rainbow table"" attack and makes it harder to crack passwords with pre-computed tables.",,,,,,,,,,,,,
344,Cybersecurity,hard,"What is the purpose of a ""Honeypot"" in cybersecurity?",A tool used to defend against malware,A server or system designed to attract and trap hackers,A type of network protocol,A method for encrypting data,b,"A honeypot is a decoy computer system or network designed to attract hackers and cyber attackers. It's a way to study their techniques, gather intelligence, and divert them away from the real network assets.",,,,,,,,,,,,,
345,Cybersecurity,hard,"What is the primary function of a ""Security Information and Event Management"" (SIEM) system?",To manage user access permissions,"To collect, aggregate, and analyze security data from various sources to detect threats",To encrypt a company's data,To manage network firewalls,b,"A SIEM system is a centralized platform that collects, aggregates, and analyzes log data and security events from across an organization's IT infrastructure. It helps security teams detect, analyze, and respond to security threats in real-time.",,,,,,,,,,,,,
346,Python,hard,"What is a ""generator expression"" in Python?",A function that returns a generator,A list comprehension using round brackets,A special kind of for loop,A function that returns an iterable,b,"A generator expression is a concise way to create an iterator, similar to a list comprehension, but using round brackets `()` instead of square brackets `[]`.",,,,,,,,,,,,,
347,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects.",,,,,,,,,,,,,
348,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them.",,,,,,,,,,,,,
349,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles.",,,,,,,,,,,,,
350,Python,hard,What is the GIL (Global Interpreter Lock)?,A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,a,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecode at the same time. This means that a single-process Python application cannot fully utilize multiple CPU cores for CPU-bound tasks.",,,,,,,,,,,,,
351,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n^2),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n).",,,,,,,,,,,,,
352,Data Structures,hard,What is a self-balancing binary search tree?,A tree where no node has more than one child,A tree where the height difference between the left and right subtrees of any node is at most 1,A tree where all leaves are at the same level,A tree that automatically sorts its elements,b,"A self-balancing binary search tree (like AVL or Red-Black trees) is a type of BST that automatically keeps its height as small as possible by performing rotations, ensuring that the height difference of subtrees is maintained to ensure O(log n) search time.",,,,,,,,,,,,,
353,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n^2),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity.",,,,,,,,,,,,,
354,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices).",,,,,,,,,,,,,
355,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex ""i"" and vertex ""j"", while a 0 indicates no edge.",,,,,,,,,,,,,
356,Algorithms,hard,"What is the ""master theorem"" in algorithm analysis used for?",To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form T(n) = aT(n/b) + f(n), which is common in the analysis of divide and conquer algorithms.",,,,,,,,,,,,,
357,Algorithms,hard,What is the time complexity of finding an element in a balanced AVL tree?,O(1),O(n),O(log n),O(n log n),c,"An AVL tree is a self-balancing binary search tree. Its balancing property guarantees that the height of the tree remains logarithmic, ensuring that search, insertion, and deletion operations have a time complexity of O(log n) in all cases.",,,,,,,,,,,,,
358,Algorithms,hard,What is the Bellman-Ford algorithm used for?,Finding the shortest path in a graph with non-negative edge weights,Finding the minimum spanning tree,Finding the shortest path in a graph with negative edge weights,Finding all pairs shortest paths,c,"The Bellman-Ford algorithm is used to find the shortest paths from a single source vertex to all other vertices in a weighted graph, even if some of the edge weights are negative. It can also detect negative-weight cycles.",,,,,,,,,,,,,
359,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.,,,,,,,,,,,,,
360,Algorithms,hard,Which of the following is a non-comparison based sorting algorithm?,Quick Sort,Merge Sort,Radix Sort,Heap Sort,c,Radix Sort is a non-comparison based sorting algorithm that sorts integers by grouping them by individual digits. It can be faster than comparison-based sorts like Quick Sort or Merge Sort for certain types of data.,,,,,,,,,,,,,
361,Algorithms,hard,"What is the master theorem"" in algorithm analysis used for?""",To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form T(n) = aT(n/b) + f(n), which is common in the analysis of divide and conquer algorithms.",,,,,,,,,,,,,
362,Algorithms,hard,What is the time complexity of finding an element in a balanced AVL tree?,O(1),O(n),O(log n),O(n log n),c,"An AVL tree is a self-balancing binary search tree. Its balancing property guarantees that the height of the tree remains logarithmic, ensuring that search, insertion, and deletion operations have a time complexity of O(log n) in all cases.",,,,,,,,,,,,,
363,Algorithms,hard,What is the Bellman-Ford algorithm used for?,Finding the shortest path in a graph with non-negative edge weights,Finding the minimum spanning tree,Finding the shortest path in a graph with negative edge weights,Finding all pairs shortest paths,c,"The Bellman-Ford algorithm is used to find the shortest paths from a single source vertex to all other vertices in a weighted graph, even if some of the edge weights are negative. It can also detect negative-weight cycles.",,,,,,,,,,,,,
364,Algorithms,hard,"What is a Turing machine"" in the context of algorithms?""",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.,,,,,,,,,,,,,
365,Algorithms,hard,Which of the following is a non-comparison based sorting algorithm?,Quick Sort,Merge Sort,Radix Sort,Heap Sort,c,Radix Sort is a non-comparison based sorting algorithm that sorts integers by grouping them by individual digits. It can be faster than comparison-based sorts like Quick Sort or Merge Sort for certain types of data.,,,,,,,,,,,,,
366,Machine Learning,easy,What is the primary goal of supervised learning?,To cluster similar data points,To predict a target variable from labeled data,To reduce the dimensionality of data,To find hidden patterns in data,b,"Supervised learning uses a training dataset with labeled output to learn a mapping from inputs to the output. The goal is to predict the target variable for new, unseen data.",,,,,,,,,,,,,
367,Machine Learning,easy,"What is a ""feature"" in a machine learning model?",A type of algorithm,An output or target variable,A column in a dataset used for prediction,A metric for evaluation,c,"In machine learning, a feature is an input variable that is used by the model to make predictions. It is a key piece of information in the dataset.",,,,,,,,,,,,,
368,Machine Learning,easy,What is overfitting?,When a model is too simple to capture the underlying trend,When a model performs well on the training data but poorly on unseen data,When a model has a perfect score on all data,When a model is too complex and slow to train,b,"Overfitting occurs when a model learns the training data and noise too well, making it perform poorly on new, unseen data. It essentially memorizes the training data instead of learning the general trend.",,,,,,,,,,,,,
369,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.,,,,,,,,,,,,,
370,Machine Learning,easy,Which of these is a popular machine learning library in Python?,NumPy,matplotlib,scikit-learn,Flask,c,"scikit-learn is a widely-used Python library for machine learning. It provides a vast collection of algorithms for classification, regression, clustering, and more.",,,,,,,,,,,,,
371,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g.",,,,,,,,,,,,,
372,Machine Learning,medium,"What is a ""confusion matrix"" used for?",To visualize model performance on unseen data,To plot the training and validation loss,To evaluate the performance of a classification model,To find correlated features,c,"A confusion matrix is a table used to evaluate the performance of a classification model. It shows the number of correct and incorrect predictions for each class, including true positives, false positives, true negatives, and false negatives.",,,,,,,,,,,,,
373,Machine Learning,medium,What is the purpose of a validation set?,To train the model on a different set of data,To test the model's final performance before deployment,To tune the model's hyperparameters and prevent overfitting,To pre-process the data,c,"A validation set is a portion of the training data used to tune hyperparameters and evaluate the model's performance during training, helping to prevent overfitting to the training set.",,,,,,,,,,,,,
374,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest).",,,,,,,,,,,,,
375,Machine Learning,medium,"What is the purpose of a ""bias-variance tradeoff""?",To find the optimal balance between model complexity and performance,To prevent a model from being biased towards one class,To reduce the computational cost of training,To balance the training and testing data,a,The bias-variance tradeoff describes the conflict in trying to create a model that is both simple enough to avoid overfitting (low variance) but complex enough to capture the underlying pattern (low bias). Finding the right balance is a key challenge in machine learning.,,,,,,,,,,,,,
376,Machine Learning,hard,What is the purpose of a kernel trick in Support Vector Machines (SVM)?,To speed up the training process,To find a linear decision boundary in a high-dimensional space without explicitly computing the coordinates,To reduce the number of features in a dataset,To handle missing values in the data,b,"The kernel trick allows an SVM to implicitly map data into a higher-dimensional feature space, enabling the algorithm to find a linear decision boundary that separates the data, even if the data is not linearly separable in the original space.",,,,,,,,,,,,,
377,Machine Learning,hard,Explain the difference between a bagging and boosting ensemble method.,Bagging trains models sequentially; Boosting trains them in parallel,Bagging reduces variance; Boosting reduces bias,Bagging focuses on reducing bias; Boosting focuses on reducing variance,They are different names for the same thing,b,"Bagging (like Random Forest) trains multiple models in parallel and averages their predictions to reduce variance. Boosting (like Gradient Boosting) trains models sequentially, where each new model corrects the errors of the previous one, primarily reducing bias.",,,,,,,,,,,,,
