id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
200,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O1,Olog n,On,On2,c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in On complexity."
201,Cloud Computing,hard,What is Kubernetes used for?,Process scheduling,Container orchestration,File storage,Machine learning pipeline,b,Kubernetes is an orchestration system for scaling and managing containers.
202,Algorithms,medium,Which algorithm is used for detecting strongly connected components?,Dijkstra,Kosaraju,Prim,Kruskal,b,Kosarajus algorithm detects SCCs.
204,Machine Learning,medium,What is the purpose of regularization?,Increase variance,Prevent overfitting,Reduce dataset size,Increase bias slightly,b,Regularization adds penalties to avoid overfitting in ML models.
205,Data Structures,easy,What is the time complexity of adding an element to the end of a dynamic array like a Python list?,O1 amortized,On,Olog n,On2,a,"Adding an element to the end of a dynamic array is an amortized O1 operation. It's typically O1, but when the array needs to be resized doubled, the operation becomes On, so the average or amortized cost over many operations is constant."
206,Artificial Intelligence,medium,What does Q in Q-learning stand for?,Quantity,Quality,Query,Queue,b,"Q stands for Quality, representing the value of actions in states."
208,Software Engineering,hard,Which design principle means 'open for extension closed for modification'?,DRY,SOLID L,Open-Closed Principle,YAGNI,c,The OCP principle states code should extend without core changes.
213,Computer Networks,medium,Which record type maps hostname to IPv6?,A Record,CNAME,AAAA Record,TXT,c,AAAA records map hostname to IPv6 addresses.
215,SQL,medium,Which SQL keyword is used to prevent duplicate values in the result set?,UNIQUE,DISTINCT,PRIMARY KEY,CONSTRAINT,b,DISTINCT removes duplicate rows in query results.
216,Machine Learning,medium,What is the purpose of feature scaling?,Boost accuracy,Reduce training set size,Uniform feature ranges,Remove features,c,Scaling ensures different feature ranges dont dominate training.
217,Computer Networks,medium,Which addressing scheme is used in IPv6?,32-bit,64-bit,128-bit,256-bit,c,"IPv6 uses 128-bit addressing, providing far more addresses than IPv4."
221,Computer Networks,medium,Which layer handles encryption in OSI model?,Application,Presentation,Session,Data Link,b,"Presentation layer ensures encryptiondecryption, compression, encoding."
223,Artificial Intelligence,hard,What technique allows agents to balance exploration and exploitation?,Overfitting,Discounting,Epsilon-Greedy,Gradient Boosting,c,Epsilon-Greedy trades off exploration of new actions vs exploiting known rewards.
224,Algorithms,easy,What is the time complexity of the bubble sort algorithm in the best-case scenario?,O1,On,On2,On log n,b,"In the best-case scenario for bubble sort, the array is already sorted. The algorithm will still make one full pass to verify it's sorted, resulting in a linear time complexity of On."
225,Python,hard,Which module is used to serialize objects?,json,os,heapq,math,a,json or pickle serializes Python objects.
227,Operating Systems,easy,What is a 'thrashing' condition in an OS?,When the system is spending too much time on disk IO to handle page faults,When the system's CPU is running at maximum capacity,When a program consumes all available RAM,When the OS is unable to boot,a,"Thrashing is a state in a virtual memory system where the system is constantly paging swapping memory pages between RAM and disk to handle frequent page faults, leading to poor performance."
232,Data Structures,medium,What is the worst-case time complexity of searching in a hash table?,O1,Olog n,On,On log n,c,"If many collisions occur, all elements may fall into one bucket, giving On."
233,Data Science,hard,What is curse of dimensionality?,Too few samples,Too clean data,Performance degradation with too many features,Model bias,c,Increasing dimensions makes models less effective due to sparse data.
234,Data Structures,easy,Which DS implements undo feature?,Stack,Heap,Queue,Graph,a,Stack supports LIFO actions.
235,Computer Networks,hard,What is the purpose of a DNS Domain Name System server?,To manage user authentication,To provide a list of all devices on a network,To translate human-readable domain names into IP addresses,To encrypt data transmission,c,A DNS server's primary function is to translate human-friendly domain names like www.google.com into numerical IP addresses that computers use to identify each other on the network.
237,Computer Networks,medium,Which multiple access technique is used in Wi-Fi?,TDMA,FDMA,CSMACA,CDMA,c,Wi-Fi uses Carrier Sense Multiple Access with Collision Avoidance.
238,SQL,hard,What is the purpose of the HAVING clause?,To filter rows before a GROUP BY clause,To filter the result of a GROUP BY clause,To filter based on non-aggregate data,To filter based on a single condition,b,"The HAVING clause is used to filter the result set after a GROUP BY clause has been applied. It is used to filter based on aggregate function results, which the WHERE clause cannot do."
239,Operating Systems,medium,Which of the following is an example of a system call?,Adding two numbers,Defining a variable,Creating a new file,Calling a function from a library,c,"System calls are the interface between a process and the operating system. Creating a new file requires the process to request a service from the OS kernel, which is done via a system call."
241,Operating Systems,easy,Which component of an OS manages memory and processes?,File System,Scheduler,Kernel,User Interface,c,"The kernel is the central component of an operating system. It manages core resources, including process scheduling, memory management, and inter-process communication."
242,Algorithms,easy,Which algorithm finds the minimum spanning tree?,DFS,Dijkstra,Kruskal,QuickSort,c,Kruskals algorithm is used to find minimum spanning tree.
243,Logic Design,easy,What is the output of an XOR gate when both inputs are the same?,TRUE,FALSE,The same as the input,1,b,"An XOR Exclusive OR gate's output is TRUE if its inputs are different and FALSE if its inputs are the same. Thus, if both inputs are 0 or both are 1, the output is FALSE."
244,Deep Learning,easy,Which activation function outputs negative to positive range?,Sigmoid,ReLU,Tanh,Softmax,c,Tanh outputs values between -1 to 1.
246,Logic Design,medium,What is the maximum output combinations of 4-input logic gate?,2,4,8,16,d,4 inputs can produce 24  16 combinations.
247,Machine Learning,medium,What is the purpose of cross-validation?,To reduce dataset size,To evaluate model performance on unseen data,To shuffle data,To choose features,b,Cross-validation tests models on different subsets of the data to give a stable estimation of performance.
248,Software Testing,hard,Mutation testing checks what?,Code efficiency,Quality of test suite,Memory leaks,UI bugs,b,Mutation testing measures if tests detect introduced errors.
249,Cloud Computing,medium,Which system ensures containers scale automatically?,VMWare,Docker Compose,Auto-scaling in Kubernetes,GitHub Actions,c,Kubernetes auto-scaling dynamically adjusts containers.
250,Python,medium,How can you make a variable accessible from anywhere within a function and its nested functions?,Using the local keyword,Using the global keyword,Using the nonlocal keyword,Using the static keyword,c,"The nonlocal keyword is used in nested functions to indicate that a variable being assigned to is not local to the nested function and is instead in the outer, non-global scope."
251,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
252,DSA,medium,What is the time complexity of finding the maximum element in an unsorted array?,O1,On,Olog n,On2,b,"To find the maximum element in an unsorted array, you have to iterate through every element at least once to compare it with the current maximum, resulting in a linear time complexity of On."
253,Data Structures,hard,Whats the amortized time for dynamic array append?,On,On log n,On2,O1,d,Dynamic arrays grow geometrically so avg O1 append.
254,Logic Design,medium,How many outputs can a 3-to-8 decoder have?,3,6,8,24,c,A 3-to-8 decoder decodes input into 8 output lines.
255,Algorithms,medium,What is the time complexity of the Floyd-Warshall algorithm?,On,On2,On log n,On3,d,"The Floyd-Warshall algorithm computes the shortest paths between all pairs of nodes in a weighted graph. Its time complexity is On3, where n is the number of vertices."
256,Data Structures,hard,What is a self-balancing binary search tree?,A tree where no node has more than one child,A tree where the height difference between the left and right subtrees of any node is at most 1,A tree where all leaves are at the same level,A tree that automatically sorts its elements,b,"A self-balancing binary search tree like AVL or Red-Black trees is a type of BST that automatically keeps its height as small as possible by performing rotations, ensuring that the height difference of subtrees is maintained to ensure Olog n search time."
258,Python,medium,What is the difference between is and  in Python?,Both are identical,is checks identity, checks value,is checks value,`==` checks identity,None of the above
259,Python,easy,Which of the following is an example of a dictionary?,'apple','banana',1,2,3),'a': 1
261,Data Structures,medium,Which traversal of a BST prints nodes in descending order?,Inorder L-R,Inorder R-L,Preorder,Postorder,b,"In descending order, we perform reverse inorder right-root-left."
262,Deep Learning,hard,Attention mechanism in transformers mainly solves what?,Overfitting,Long-term dependency,High variance,Short datasets,b,Attention helps handle long-term dependencies in sequences.
263,Machine Learning,hard,What is vanishing gradient issue common in?,Trees,CNNs,RNNs,Graph theory,c,RNNs suffer from vanishing gradients due to long-term dependencies.
264,DSA,medium,What is the difference between DFS Depth-First Search and BFS Breadth-First Search?,DFS uses a queue; BFS uses a stack,DFS explores all neighbors at the current level before moving to the next level; BFS goes as deep as possible first,DFS uses a stack; BFS uses a queue,They are the same algorithm with different names,c,DFS typically uses a stack to explore a path as deeply as possible before backtracking. BFS typically uses a queue to explore all neighbors at the current level before moving to the next level.
265,Software Engineering,medium,What is cohesion?,Dependency between modules,Grouping related tasks inside module,Code duplication check,Requirement validation,b,Cohesion measures how closely tasks in a module relate.
267,Database Management,medium,What is the purpose of normalization in a database?,To improve query performance,To reduce data redundancy and improve data integrity,To encrypt sensitive data,To simplify the database schema,b,"Normalization is the process of organizing data in a database to reduce data redundancy and improve data integrity. It involves dividing large tables into smaller, less redundant tables."
268,Cybersecurity,easy,What is the purpose of multi-factor authentication MFA?,To make passwords longer,To protect against brute-force attacks,To require more than one method of verification to grant access,To automatically change a user's password,c,MFA is a security system that requires a user to provide two or more different verification factors to gain access to a resource. It adds an extra layer of security beyond just a password.
269,DSA,easy,"Which data structure is best for implementing an ""Undo"" feature in a text editor?",Queue,Stack,Array,Linked List,b,"A stack is a perfect fit for an Undo"" feature because it operates on a Last-In"
270,Artificial Intelligence,medium,What is alpha-beta pruning in minimax?,Pruning redundant nodes,Pruning optimal path,Pruning weights,Pruning database queries,a,"Alpha-beta pruning reduces nodes evaluated by minimax in game trees, improving efficiency."
271,Data Structures,easy,What is a Stack?,A FIFO data structure,A LIFO data structure,A random access data structure,A sequential data structure,b,"A Stack is a Last-In, First-Out LIFO data structure. The last item added is the first one to be removed."
272,Data Structures,hard,What is the space complexity of adjacency matrix representation of a graph with V vertices?,OV,OVE,OV2,OE log V,c,An adjacency matrix requires OV2 memory as it stores connectivity for all vertex pairs.
274,Logic Design,easy,Which gate outputs true only if both inputs true?,OR,AND,NAND,XOR,b,AND gate outputs 1 only if all inputs are 1.
275,Data Structures,medium,Which traversal technique visits all nodes level by level?,Inorder,Preorder,BFSLevel Order,Postorder,c,Level-order traversal BFS visits tree level by level.
277,Computer Networks,hard,What does the TTL field in IP header define?,Total data length,Hop limit,Priority,Time slot,b,TTL Time-To-Live limits hop count to avoid infinite loops.
279,Artificial Intelligence,easy,Which algorithm finds shortest path?,DFS,BFS,A,RNN,c,A search algorithm finds optimal shortest paths.
280,Data Science,medium,What is feature scaling?,Reducing variables,Normalizing feature ranges,Increasing dataset size,Encoding labels,b,"Feature scaling normalizes values to uniform range, improving ML convergence."
281,Computer Networks,easy,Which layer of the OSI model is responsible for logical addressing and routing?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,c,"The Network Layer Layer 3 is responsible for logical addressing like IP addresses and routing, determining the best path for data to travel across interconnected networks."
283,Operating Systems,medium,Which page replacement algorithm replaces the page not used for the longest future?,LRU,Optimal,FIFO,Clock,b,The Optimal Page Replacement algorithm replaces the page that will not be used for the longest time.
284,SQL,easy,Which SQL keyword checks conditions?,ORDER,CASE,WHERE,GROUP,c,WHERE filters data by condition.
287,Computer Networks,hard,Which metric does OSPF use for routing?,Bandwidth,Hop count,Delay,Cost,d,OSPF uses cost metrics typically based on bandwidth for routing decisions.
289,Python,medium,What is the output of sorted3,1,2?,3,2,1],1
290,Algorithms,easy,What is a brute-force algorithm?,An algorithm that uses a single step,An algorithm that tries all possible solutions,An algorithm that finds the shortest path,An algorithm that uses a divide and conquer approach,b,A brute-force algorithm is a straightforward approach to a problem that tries every possible solution until a satisfactory one is found. It is simple to implement but often computationally expensive.
291,Software Testing,easy,What is regression testing?,Test under stress,Check new changes dont break old features,Only UI test,Performance tests,b,Regression ensures old features remain intact.
295,Logic Design,hard,What condition causes race hazards?,Long clock pulse,Both inputs high in SRJK,Short pulse,Memory overflow,b,JK flip-flop race condition happens with JK1.
296,Software Testing,hard,What is 'mutation testing'?,A testing method that modifies the source code of a program to test the quality of the tests themselves,A testing method that uses random inputs to find bugs,A type of performance testing,A type of security testing,a,"Mutation testing is a technique for evaluating the quality of test suites. It works by making small, deliberate changes mutations to the source code and checking if the existing test suite can detect these changes kill the mutants."
300,DSA,medium,What is the primary purpose of a 'Heap' data structure?,To find the sum of all elements,To maintain a sorted list of elements,To efficiently find the minimum or maximum element,To reverse a list of elements,c,"A heap is a specialized tree-based data structure that satisfies the heap property. In a min-heap, the root node is the smallest element, and in a max-heap, it is the largest, allowing for O1 access to the minmax element."
301,Computer Networks,medium,What is the default port number of HTTPS?,21,25,80,443,d,HTTPS uses port 443 by default for secure HTTP communication over SSLTLS.
302,Python,medium,What is GIL in Python?,Global Instruction List,Global Instance Lock,Global Interpreter Lock,Global Integration Layer,c,The GIL prevents multiple Python threads executing bytecode simultaneously.
305,Operating Systems,medium,Which page replacement policy uses 'recently used' information?,Optimal Algorithm,FIFO,LRU,Clock,c,LRU replaces the least recently used page.
309,Artificial Intelligence,easy,Which AI algorithm is used in games like Chess?,Decision Tree,Minimax,KNN,DFS,b,Minimax algorithm is used in adversarial games like chess.
310,Algorithms,medium,Which algorithm is commonly used for finding strongly connected components SCCs?,Dijkstra,Prim,Kosaraju,Greedy,c,Kosarajus algorithm is specifically used to find SCCs in a directed graph.
312,Algorithms,hard,What is the worst-case time complexity of Merge Sort?,On log n,On2,Olog n,O1,a,Merge Sort is On log n in all cases.
313,Cybersecurity,easy,What does 2FA stand for?,Two-Factor Authentication,Two File Access,Two-Firewall Application,Two Function Algorithm,a,2FA is an authentication method requiring two forms of verification.
315,Cloud Computing,medium,Which service model provides only infrastructure?,PaaS,SaaS,IaaS,FaaS,c,"Infrastructure as a Service provides compute instance, storage but not platform or applications."
316,Operating Systems,easy,Which OS concept creates illusion of infinite memory?,Paging,Virtual Memory,Swapping,Scheduling,b,Virtual memory provides abstraction of infinite memory using disk as extension.
319,Data Structures,easy,Which data structure is based on nodes connected by pointers?,Array,Linked List,Queue,Stack,b,A linked list stores elements in nodes linked together with pointers.
320,Operating Systems,easy,Which scheduling algorithm executes the process with the smallest execution time first?,FIFO,Round Robin,SJF,Priority Scheduling,c,"Shortest Job First SJF selects processes with the least burst time, minimizing waiting time."
323,Software Engineering,easy,What is the purpose of a 'version control' system?,To manage user permissions,To track and manage changes to source code,To compile source code into an executable file,To store a database,b,"A version control system like Git or SVN is a tool that tracks and manages changes to source code over time, allowing multiple developers to collaborate and providing a history of all revisions."
326,Data Structures,medium,What is the time complexity of searching in a HashMap in the average case?,O1,Olog n,On,On log n,a,"Hash maps provide average O1 lookup time, though worst case may degrade to On due to collisions."
328,Networking,medium,Which DNS record type maps a domain name to an IPv4 address?,CNAME record,MX record,A record,AAAA record,c,"An 'A' record maps a hostname to an IPv4 address, while AAAA is for IPv6."
330,Data Structures,medium,What is the time complexity of enqueue operation in a circular queue?,O1,Olog n,On,On log n,a,Enqueue in circular queue takes O1.
331,Algorithms,hard,What is the time complexity of Quick Sort in the worst case?,On log n,On2,Olog n,O1,b,"Worst case occurs when pivot is always smallestlargest, leading to On2."
332,Logic Design,hard,Which flip-flop suffers race around issues?,SR,D,T,JK,d,JK flip-flop with JK1 may cause race condition.
334,Software Engineering,medium,What is the primary goal of the 'testing' phase in the SDLC?,To fix all bugs in the code,To find and report defects in the software,To ensure the software is delivered on time,To write the user documentation,b,"The primary goal of testing is not to prove that the software is perfect, but to find defects and report them to the development team so they can be fixed."
335,Algorithms,medium,Which algorithm finds shortest path in weighted graph?,DFS,Dijkstra,Floyd-Warshall,Kruskal,b,Dijkstra works with non-negative weights.
336,Deep Learning,easy,Which of these is a deep learning framework?,Pandas,TensorFlow,NumPy,Matplotlib,b,TensorFlow is a deep learning framework for neural networks.
337,SQL,easy,Which SQL statement is used to add a column to an existing table?,ADD COLUMN,ALTER TABLE,INSERT INTO,UPDATE,b,ALTER TABLE ... ADD COLUMN is used to add a new column to an existing table.
339,Computer Networks,medium,Which protocol uses port 22?,FTP,SSH,TCP,HTTP,b,SSH uses port 22 for secure communication.
340,Python,easy,What is the correct syntax for an if statement in Python?,if x  5:,if x  5,if x  5;,if x  5 then,a,The correct syntax for an if statement in Python is the 'if' keyword followed by the condition and a colon. Parentheses are not required and a semicolon is incorrect.
343,Algorithms,medium,Which approach does Divide and Conquer use?,Break into subproblems,Greedy choices,Queue-based recursion,Approximation,a,Divide-and-Conquer splits tasks into smaller independent problems.
344,Python,medium,What is the difference between remove and pop in lists?,Both remove an item by index,remove removes by value while pop removes by index,remove is faster,They are the same,b,"remove deletes by value, pop deletes by index."
345,Python,hard,What is the purpose of the slots attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a dict for each instance,To specify the order of attributes in a class,c,"The slots attribute is a performance optimization used to tell Python not to use a dict to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
346,Software Testing,hard,What is mutation testing?,Creating mutants of code and checking test failure levels,System level bug review,Security patch testing,Execution environment test,a,Mutation testing modifies code slightly to test robustness of the test suite.
347,Machine Learning,easy,Which algorithm is used for linear regression?,Gradient Descent,Decision Trees,k-Means,SVM,a,Linear Regression commonly uses optimization methods like Gradient Descent to find the best fit line.
349,Cybersecurity,hard,"What is the purpose of a ""Honeypot"" in cybersecurity?",A tool used to defend against malware,A server or system designed to attract and trap hackers,A type of network protocol,A method for encrypting data,b,"A honeypot is a decoy computer system or network designed to attract hackers and cyber attackers. It's a way to study their techniques, gather intelligence, and divert them away from the real network assets."
350,Algorithms,medium,Which greedy algorithm finds MST?,Prim,Dijkstra,Floyd-Warshall,Kosaraju,a,Prim's finds MST by expanding from a starting vertex.
353,Cybersecurity,hard,What is the difference between a virus and a worm?,A virus self-replicates; a worm does not,A virus needs a host program to spread; a worm can spread on its own,A virus is a type of worm,They are the same thing,b,A computer virus requires a host program like a .exe file to run and spread. A worm is a standalone malicious program that can self-replicate and spread to other computers on a network without needing a host program or human action.
354,Python,hard,What is the GIL Global Interpreter Lock?,A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,a,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecode at the same time. This means that a single-process Python application cannot fully utilize multiple CPU cores for CPU-bound tasks."
356,Data Structures,easy,Which data structure is used to implement recursion?,Stack,Queue,Array,Heap,a,"Recursion uses the call stack to keep track of function calls, so a stack is the underlying structure."
357,Artificial Intelligence,hard,What does minimax algorithm do in AI?,Finds shortest path,Chooses best move in adversarial games,Compresses data,Detects anomalies,b,Minimax is used in AI for decision making in adversarial games.
358,Machine Learning,easy,Which of the following is an example of supervised learning?,Clustering,K-means,Linear Regression,Autoencoders,c,Linear Regression is supervised learning because it uses labeled input and output data.
362,Software Engineering,hard,Which design pattern ensures single instance?,Builder,Singleton,Observer,Decorator,b,Singleton ensures only one instance of a class is created.
365,Algorithms,easy,Which sorting algorithm always divides the array into halves?,Quick Sort,Merge Sort,Insertion Sort,Bubble Sort,b,Merge Sort recursively divides the array into halves.
366,Artificial Intelligence,hard,What is utility function?,Heuristic,Mapping states to real numbers,Sorting function,AI model validator,b,Utility maps states to desirability values.
367,Python,hard,What is a 'decorator' in Python?,A function that modifies the behavior of another function without permanently altering it,A special type of class,A variable that can hold multiple types,A built-in function for formatting output,a,A decorator is a design pattern in Python that allows a user to add new functionality to an existing object without modifying its structure. Decorators are usually defined as functions that wrap other functions.
368,Operating Systems,easy,Which scheduling algorithm handles processes in shortest burst time?,Round Robin,SJF,Priority,FIFO,b,Shortest Job First executes processes with minimum burst time.
370,Data Structures,hard,What is the time complexity of searching in a B-Tree?,On,Olog n,O1,On log n,b,B-Tree search is Olog n due to balanced height.
371,Software Engineering,hard,What is the difference between 'Verification' and 'Validation'?,Verification is 'building the product right',Validation is 'building the right product',Verification is 'building the right product',Validation is 'building the product right',verification is done by testers; validation is done by developers,Verification is for software; Validation is for hardware
372,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles where objects refer to each other and their reference counts never drop to zero, it also employs a separate garbage collector that finds and collects these cycles."
374,Python,easy,How do you write a 'for' loop that iterates through a list named 'fruits'?,for fruit in fruits:,for fruits in fruit:,for fruit in fruits:,loop over fruits:,a,"The correct and most common syntax for a 'for' loop in Python is 'for item in iterable:', which makes the code readable and concise."
375,Operating Systems,medium,What is multiprogramming?,Single process at once,Multiple IO but single CPU,Multiple programs share CPU,Cloud process,b,Multiprogramming executes multiple processes.
376,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
377,Cloud Computing,easy,Which of these is cloud deployment model?,Public Cloud,Private Cloud,Hybrid Cloud,All of the above,d,"Cloud models include Public, Private, and Hybrid."
379,Artificial Intelligence,medium,What is adversarial search used in?,Sorting,Game playing,Neural networks,Query optimization,b,Adversarial search is used in game-playing AI.
380,Deep Learning,easy,Which function squashes between 0 and 1?,Sigmoid,ReLU,Tanh,Softmax,a,Sigmoid activation outputs values between 0 and 1.
381,Networking,hard,What is the 'three-way handshake' and what protocol uses it?,It's a security protocol; UDP,It's a way to encrypt data; SSH,It's a connection establishment process; TCP,It's a way to discover new devices; IP,c,"The three-way handshake is a process used by the TCP protocol to establish a connection between a client and a server. It involves three steps: SYN, SYN-ACK, and ACK, to ensure both parties are ready to transmit and receive data."
386,Artificial Intelligence,medium,What is reinforcement learning based on?,Labels provided,Random guesses,Rewards and penalties,Gradient boosting,c,Reinforcement Learning uses feedback in terms of rewards and penalties to learn actions.
392,Algorithms,hard,"What is a ""NP-complete"" problem?",A problem that cannot be solved in polynomial time,A problem that can be solved in linear time,A problem that is in NP and is at least as hard as any other problem in NP,A problem that is easy to solve but hard to verify,c,"NP-complete problems are the hardest problems in a class of problems called NP non-deterministic polynomial time. If a polynomial-time algorithm for any NP-complete problem exists, then all problems in NP can be solved in polynomial time."
393,Software Engineering,hard,What is 'coupling' in software design?,The level of interaction or interdependence between software modules,The process of linking libraries to a program,The number of lines of code,The complexity of a function,a,Coupling is the degree to which one module or component is connected to or depends on other modules. High coupling is generally undesirable as it makes a system difficult to maintain and modify.
395,Software Engineering,medium,Which SDLC model is most rigid?,Agile,V-Model,Waterfall,Spiral,c,"The Waterfall model follows strict sequential phases, with little flexibility."
397,Software Engineering,medium,What is 'unit testing'?,Testing the entire system as a whole,Testing individual software components or modules,Testing the integration between two modules,Testing the user interface,b,Unit testing is a type of software testing where individual units or components of a software application are tested in isolation to ensure they function correctly.
398,Machine Learning,easy,What is the primary goal of supervised learning?,To cluster similar data points,To predict a target variable from labeled data,To reduce the dimensionality of data,To find hidden patterns in data,b,"Supervised learning uses a training dataset with labeled output to learn a mapping from inputs to the output. The goal is to predict the target variable for new, unseen data."
400,Software Development,easy,"What is ""refactoring"" in software development?",Rewriting code to add new features,Improving the internal structure of code without changing its external behavior,Removing all bugs from a program,Converting code from one language to another,b,"Refactoring is the process of restructuring existing code to improve its readability, maintainability, and reduce complexity, without altering its functionality."
401,Cloud Computing,hard,What is the main role of an API Gateway in microservices architecture?,To compile cloud applications,To authenticate and route client requests to services,To store databases,To run Docker containers,b,"API Gateways act as an entry point, handling authentication, routing, throttling, and monitoring in microservices architecture."
402,SQL,easy,Which command removes all rows but keeps table structure?,DROP TABLE,DELETE,TRUNCATE,ALTER,c,TRUNCATE removes all rows but preserves schema.
404,Machine Learning,easy,Which ML type uses unlabeled data?,Supervised,Unsupervised,Reinforcement,None,b,Unsupervised learning uses unlabeled data to find clusters or patterns.
405,Cybersecurity,easy,Which is an example of phishing?,Encrypted mail,Fake login page to steal credentials,SSL Certificates,Antivirus,b,Phishing tricks users to surrender credentials via fake sitesemails.
409,Computer Networks,hard,Which protocol uses Dijkstras algorithm for shortest-path routing?,RIP,OSPF,BGP,EIGRP,b,OSPF Open Shortest Path First is a link-state routing protocol that uses Dijkstras algorithm.
410,SQL,hard,How can you find the second highest salary from an 'employees' table without using LIMIT or TOP?,Using a subquery with MAX and a WHERE clause,Using OFFSET and FETCH,Using RANK or DENSERANK,Using GROUP BY and HAVING,c,The RANK or DENSERANK window functions are a common way to solve this. You can rank the salaries in descending order and then filter for the row with a rank of 2. This is a more flexible and standard-compliant approach.
411,Cybersecurity,medium,What is a honeypot?,Backup system,Decoy system for attackers,Database encryption,Packet filtering,b,Honeypots lure attackers to observe and analyze exploits.
412,Data Structures,medium,What is the advantage of linked lists over arrays?,Random access,Faster sorting,Dynamic size allocation,Better caching,c,Linked lists allow dynamic allocation of memory unlike arrays.
413,Deep Learning,medium,What is Dropout used for?,Speed training,Reduce memory,Prevent overfitting,Increase variance,c,Dropout randomly deactivates neurons during training to prevent overfitting.
414,Data Structures,easy,Which data structure is used in Depth First Search?,Stack,Queue,Heap,Array,a,DFS uses a stack.
416,Machine Learning,hard,What is the purpose of a kernel trick in Support Vector Machines SVM?,To speed up the training process,To find a linear decision boundary in a high-dimensional space without explicitly computing the coordinates,To reduce the number of features in a dataset,To handle missing values in the data,b,"The kernel trick allows an SVM to implicitly map data into a higher-dimensional feature space, enabling the algorithm to find a linear decision boundary that separates the data, even if the data is not linearly separable in the original space."
418,Artificial Intelligence,easy,Which of these is an AI search algorithm?,DFS,BFS,Both A and B,None,c,Both BFS and DFS are search approaches in AI problem-solving.
419,SQL,hard,What is a materialized view used for?,Faster updates,Faster read queries by precomputing results,Indexing text columns,Database triggers,b,"Materialized views store precomputed query results, improving query performance."
420,Machine Learning,easy,Which technique reduces overfitting?,Dropout,Gradient Descent,Normalization,RBF,a,Dropout disables neurons randomly.
422,Database Management,easy,What is the purpose of an index?,To prevent duplicate data,To speed up data retrieval,To define data types for columns,To enforce data integrity,b,An index is a data structure that improves the speed of data retrieval operations on a database table by providing a quick lookup mechanism.
423,Algorithms,hard,Which is used to solve the 01 Knapsack problem efficiently?,Greedy Algorithm,Dynamic Programming,Binary Search,Backtracking,b,DP is used in 01 Knapsack because it has overlapping subproblems and optimal substructure.
426,Cybersecurity,easy,Which of these is an example of a strong password?,123456,Password123,Pssw0rd,admin,c,"A strong password contains a mix of uppercase, lowercase, numbers, and symbols; 'Pssw0rd' is the strongest here."
429,SQL,medium,What will COUNTcolumn ignore?,All rows,NULL values,Duplicate values,Primary keys,b,COUNTcolumn counts rows except NULL values.
430,Web Development,easy,"How do you write ""Hello World"" in an alert box using JavaScript?","alertBox""Hello World"";","msg""Hello World"";","alert""Hello World"";","msgBox""Hello World"";",c,The alert function is a built-in browser function in JavaScript that creates a pop-up alert box with the specified message.
432,Python,medium,What is the purpose of the init method?,To initialize a module,To define the class,To initialize an object's attributes,To destroy an object,c,"The init method is the constructor in Python. It is called automatically when a new instance of the class is created, allowing you to initialize the object's attributes."
435,Cybersecurity,medium,What is the difference between symmetric and asymmetric encryption?,Symmetric uses one key,Asymmetric uses publicprivate pair,Symmetric faster,Asymmetric faster,b,"Symmetric requires one key, asymmetric uses public-private key pairs."
436,Python,medium,What is the difference between range and a list?,range is a generator that produces numbers on demand,while a list stores all numbers in memory,A list is a generator,range is a data structure,`range()` can only store integers,while a list can store any data type
437,Software Engineering,hard,What is inversion of control principle?,Object handles control,Framework controls object flow,Users control runtime,OS controls scheduling,b,IoC means the framework manages dependencies and control flow instead of objects themselves.
440,Algorithms,hard,Which algorithm is used in Huffman coding?,Greedy,Dynamic Programming,Divide and Conquer,Backtracking,a,Huffman coding is a greedy algorithm.
441,Algorithms,medium,What is the best-case complexity of Quick Sort?,On2,On log n,On,O1,c,"In best case, partitions are balanced and Quick Sort runs On log n."
